priority,plane,weight,position,isCharging,priority,plane,weight,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
PoweringWeapon,Base,100,Top,False,PoweringWeapon,Base,100,
PoweringWeapon,Base,100,Top,False,PoweringWeapon,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
PoweringWeapon,Base,100,Top,False,PoweringWeapon,Base,100,
PoweringWeapon,Base,100,Top,False,PoweringWeapon,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
PoweringWeapon,Base,100,Top,False,PoweringWeapon,Base,100,
PoweringWeapon,Base,100,Top,False,PoweringWeapon,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
None,Base,100,Top,False,None,Base,100,
